mobile_brand_name,mobile_model_name,mobile_marketing_name,operating_system_version,cnt,cnt
Apple,iPhone 11,,iOS 15.6.1,3508,0.053412915
Apple,iPhone 11,,iOS 16.0,3486,0.053077942
Apple,iPhone XR,,iOS 16.0,1824,0.027772279
Apple,iPhone 12,,iOS 16.0,1809,0.027543889
Apple,iPhone 13,,iOS 16.0,1751,0.026660779
Apple,iPhone XR,,iOS 15.6.1,1730,0.026341033
Apple,iPhone 12,,iOS 15.6.1,1594,0.024270292
Apple,iPhone SE (2nd generation),,iOS 15.6.1,1579,0.024041902
Apple,iPhone 13,,iOS 15.6.1,1473,0.022427943
Apple,iPhone 11,,iOS 15.6,1223,0.018621435
Apple,iPhone 11,,iOS 16.0.2,1162,0.017692647
Apple,iPhone 11,,iOS 15.5,1005,0.015302161
Apple,iPhone SE (2nd generation),,iOS 16.0,892,0.013581619
Apple,iPhone,,iOS 15.6.1,803,0.012226502
Apple,iPhone,,iOS 16.0,782,0.011906756
Apple,iPhone 13 Pro Max,,iOS 15.6.1,767,0.011678365
Apple,iPhone 8,,iOS 15.6.1,735,0.011191132
Apple,iPhone 7,,iOS 15.6.1,717,0.010917064
Apple,iPhone XR,,iOS 15.6,705,0.010734351
Apple,iPhone 12,,iOS 15.6,676,0.010292797
Apple,iPhone XR,,iOS 15.5,666,0.010140536
Apple,iPhone 13 Pro Max,,iOS 16.0,641,0.009759886
Apple,iPhone 8 Plus,,iOS 15.6.1,606,0.009226974
Apple,iPhone XR,,iOS 16.0.2,586,0.008922454
Apple,iPhone 7,,iOS 15.7,582,0.00886155
Apple,iPhone 12,,iOS 16.0.2,564,0.008587481
Apple,iPhone SE (2nd generation),,iOS 15.6,552,0.008404769
Apple,iPhone SE (2nd generation),,iOS 15.5,545,0.008298187
Apple,iPhone 12,,iOS 15.5,544,0.008282961
Apple,iPhone 13,,iOS 15.6,518,0.007887084
Apple,iPhone 13,,iOS 16.0.2,497,0.007567337
Apple,iPhone 8,,iOS 16.0,482,0.007338947
Apple,iPhone 13 Pro,,iOS 16.0,478,0.007278043
Apple,iPhone 12 mini,,iOS 15.6.1,463,0.007049652
Apple,iPhone,,iOS 16.0.2,455,0.006927844
Apple,iPhone 12 mini,,iOS 16.0,435,0.006623323
Apple,iPhone X,,iOS 15.6.1,432,0.006577645
Apple,iPhone 13 Pro,,iOS 15.6.1,427,0.006501515
Apple,iPhone X,,iOS 16.0,420,0.006394933
Apple,iPhone 13,,iOS 15.5,400,0.006090412
Apple,iPhone 11,,iOS 16.0.3,380,0.005785892
Apple,iPhone 11,,iOS 16.1,378,0.005755439
Apple,iPhone SE (2nd generation),,iOS 16.0.2,374,0.005694535
Apple,iPhone 7,,iOS 15.5,356,0.005420467
Apple,iPhone 8,,iOS 15.5,342,0.005207302
Apple,iPhone 11 Pro Max,,iOS 15.6.1,338,0.005146398
Apple,iPhone 11 Pro Max,,iOS 16.0,326,0.004963686
Apple,iPhone 7 Plus,,iOS 15.6.1,323,0.004918008
Apple,iPhone,,iOS 15.6,314,0.004780974
Apple,iPhone 8,,iOS 15.6,303,0.004613487
Apple,iPhone 12 Pro,,iOS 16.0,302,0.004598261
Apple,iPhone 13 Pro Max,,iOS 15.6,294,0.004476453
Apple,iPhone 8 Plus,,iOS 16.0,288,0.004385097
Apple,iPhone XS,,iOS 15.6.1,286,0.004354645
Apple,iPhone 12 Pro,,iOS 15.6.1,271,0.004126254
Apple,iPhone XS Max,,iOS 15.6.1,263,0.004004446
Apple,iPhone 7,,iOS 15.6,259,0.003943542
Apple,iPhone 7 Plus,,iOS 15.7,255,0.003882638
Apple,iPhone 11 Pro,,iOS 16.0,251,0.003821734
Apple,iPhone XS,,iOS 16.0,249,0.003791282
Apple,iPhone 6s,,iOS 15.6.1,247,0.00376083
Apple,iPhone XS Max,,iOS 16.0,239,0.003639021
Apple,iPhone,,iOS 16.0.3,236,0.003593343
Apple,iPhone 11 Pro,,iOS 15.6.1,229,0.003486761
Apple,iPhone,,iOS 15.5,219,0.003334501
Apple,iPhone 11,,iOS 15.4.1,219,0.003334501
Apple,iPhone 13 mini,,iOS 15.6.1,217,0.003304049
Apple,iPhone 8,,iOS 16.0.2,211,0.003212692
Apple,iPhone XR,,iOS 16.0.3,208,0.003167014
Apple,iPhone X,,iOS 15.5,208,0.003167014
Apple,iPhone 13 Pro Max,,iOS 16.0.2,206,0.003136562
Apple,iPhone 12 mini,,iOS 16.0.2,202,0.003075658
Apple,iPhone 12,,iOS 15.4.1,197,0.002999528
Apple,iPhone 8 Plus,,iOS 15.6,194,0.00295385
Apple,iPhone 13 mini,,iOS 16.0,191,0.002908172
Apple,iPhone 12,,iOS 16.0.3,191,0.002908172
Apple,iPhone 11,,iOS 15.7,190,0.002892946
Apple,iPhone XR,,iOS 16.1,185,0.002816816
Apple,iPhone 13 Pro Max,,iOS 15.5,184,0.00280159
Apple,iPhone 13,,iOS 16.1,182,0.002771138
Apple,iPhone 8 Plus,,iOS 15.5,181,0.002755912
Apple,iPhone SE (2nd generation),,iOS 15.4.1,179,0.002725459
Apple,iPhone 12 mini,,iOS 15.3.1,172,0.002618877
Apple,iPhone,,iOS 16.1,171,0.002603651
Apple,iPhone 6s,,iOS 15.7,170,0.002588425
Apple,iPhone X,,iOS 16.0.2,169,0.002573199
Apple,iPhone 13 Pro,,iOS 15.6,169,0.002573199
Apple,iPhone 12,,iOS 16.1,169,0.002573199
Apple,iPhone 12 mini,,iOS 15.5,164,0.002497069
Apple,iPhone 12 mini,,iOS 15.6,163,0.002481843
Apple,iPhone 13,,iOS 16.0.3,162,0.002466617
Apple,iPhone XR,,iOS 15.4.1,161,0.002451391
Apple,iPhone 6,,iOS 12.5.5,161,0.002451391
Apple,iPhone X,,iOS 15.6,160,0.002436165
Apple,iPhone 6,,iOS 12.5.6,150,0.002283905
Apple,iPhone XR,,iOS 14.6,141,0.00214687
Apple,iPhone 11 Pro Max,,iOS 15.5,134,0.002040288
Apple,iPad (9th gen),,iOS 15.6.1,133,0.002025062
Apple,iPhone 8 Plus,,iOS 16.0.2,131,0.00199461
Apple,iPhone 13 Pro,,iOS 16.0.2,130,0.001979384
Apple,iPhone 7,,iOS 15.4.1,128,0.001948932
Apple,iPhone XR,,iOS 14.8.1,125,0.001903254
Apple,iPhone XR,,iOS 15.7,124,0.001888028
Apple,iPhone 7,,iOS 14.7.1,123,0.001872802
Apple,iPhone 11 Pro Max,,iOS 16.0.2,122,0.001857576
Apple,iPhone XR,,iOS 14.7.1,122,0.001857576
Apple,iPhone 11,,iOS 14.8.1,119,0.001811898
Apple,iPhone SE (2nd generation),,iOS 16.0.3,119,0.001811898
Apple,iPhone 7 Plus,,iOS 15.5,118,0.001796672
Apple,iPhone 11 Pro Max,,iOS 15.6,118,0.001796672
Apple,iPhone 7 Plus,,iOS 15.6,115,0.001750993
Apple,iPhone 6s Plus,,iOS 15.6.1,114,0.001735767
Apple,iPhone 13,,iOS 15.7,103,0.001568281
Apple,iPhone XS,,iOS 15.6,102,0.001553055
Apple,iPhone SE (2nd generation),,iOS 15.3.1,102,0.001553055
Apple,iPhone 11 Pro,,iOS 15.0.2,102,0.001553055
Apple,iPhone 6s,,iOS 15.5,100,0.001522603
Apple,iPhone SE (2nd generation),,iOS 15.7,97,0.001476925
Apple,iPhone XS Max,,iOS 15.6,96,0.001461699
Apple,iPhone 13 Pro Max,,iOS 16.1,96,0.001461699
Apple,iPad (8th gen),,iOS 15.6.1,93,0.001416021
Apple,iPhone 12 Pro,,iOS 16.0.2,93,0.001416021
Apple,iPhone XS,,iOS 16.0.2,92,0.001400795
Apple,iPhone 11,,iOS 15.3.1,91,0.001385569
Apple,iPhone XS Max,,iOS 16.0.2,91,0.001385569
Apple,iPhone 13 Pro,,iOS 15.5,91,0.001385569
Apple,iPhone 6s Plus,,iOS 15.7,88,0.001339891
Apple,iPhone XS Max,,iOS 15.5,87,0.001324665
Apple,iPhone 12 Pro,,iOS 15.6,87,0.001324665
Apple,iPhone SE (2nd generation),,iOS 16.1,85,0.001294213
Apple,iPhone 13,,iOS 15.4.1,83,0.001263761
Apple,iPhone 6s,,iOS 15.6,82,0.001248534
Apple,iPhone 8,,iOS 15.4.1,82,0.001248534
Apple,iPhone 13 Pro Max,,iOS 16.0.3,82,0.001248534
Apple,iPhone 12,,iOS 15.7,80,0.001218082
Apple,iPad (9th gen),,iOS 15.5,79,0.001202856
Apple,iPhone 13 mini,,iOS 16.0.2,79,0.001202856
Apple,iPhone SE (2nd generation),,iOS 14.7.1,78,0.00118763
Apple,iPhone XS,,iOS 15.5,78,0.00118763
Apple,iPhone 7,,iOS 14.6,78,0.00118763
Apple,iPhone 11 Pro,,iOS 16.0.2,74,0.001126726
Apple,iPhone 11 Pro,,iOS 15.6,72,0.001096274
Apple,iPhone XR,,iOS 15.3.1,72,0.001096274
Apple,iPhone 11,,iOS 14.7.1,72,0.001096274
Apple,iPhone 13 mini,,iOS 15.6,71,0.001081048
Apple,iPhone 8,,iOS 16.0.3,69,0.001050596
Apple,iPhone 8,,iOS 15.7,69,0.001050596
Apple,iPhone 11,,iOS 15.1,68,0.00103537
Apple,iPhone 12 Pro,,iOS 15.5,68,0.00103537
Apple,iPad Air (4th gen),,iOS 15.6.1,68,0.00103537
Apple,iPhone X,,iOS 16.0.3,66,0.001004918
Apple,iPhone 7,,iOS 14.8.1,65,0.000989692
Apple,iPhone 8,,iOS 16.1,65,0.000989692
Apple,iPhone 7,,iOS 15.7.1,64,0.000974466
Apple,iPhone SE (2nd generation),,iOS 14.8.1,63,0.00095924
Apple,iPhone 11 Pro,,iOS 15.5,63,0.00095924
Apple,iPhone,,iOS 16.0.1,62,0.000944014
Apple,iPhone 13 mini,,iOS 15.5,62,0.000944014
Apple,iPhone 13 Pro,,iOS 16.1,62,0.000944014
Apple,iPhone,,iOS 11.0,62,0.000944014
Apple,iPhone X,,iOS 14.0,62,0.000944014
Apple,iPhone 7,,iOS 15.3.1,61,0.000928788
Apple,iPhone SE,,iOS 15.6.1,60,0.000913562
Apple,iPhone 11,,iOS 15.4,58,0.00088311
Apple,iPhone 11 Pro Max,,iOS 16.0.3,56,0.000852658
Apple,iPhone X,,iOS 16.1,55,0.000837432
Apple,iPhone 12 mini,,iOS 16.0.3,55,0.000837432
Apple,iPhone 11,,iOS 15.0.2,54,0.000822206
Apple,iPhone X,,iOS 15.4.1,53,0.00080698
Apple,iPhone 11,,iOS 14.6,53,0.00080698
Apple,iPhone 8 Plus,,iOS 15.4.1,52,0.000791754
Apple,iPhone 8,,iOS 14.6,52,0.000791754
Apple,iPhone 8,,iOS 14.7.1,51,0.000776528
Apple,iPhone SE (2nd generation),,iOS 14.6,50,0.000761302
Apple,iPad (9th gen),,iOS 15.6,50,0.000761302
Apple,iPhone 7,,iOS 15.1,49,0.000746075
Apple,iPhone 7,,iOS 14.4.2,48,0.000730849
Apple,iPhone 12 mini,,iOS 16.1,48,0.000730849
Apple,iPad (7th gen),,iOS 15.6.1,48,0.000730849
Apple,iPod touch (7th generation),,iOS 15.6.1,47,0.000715623
Apple,iPad (8th gen),,iOS 15.5,47,0.000715623
Apple,iPhone 13 Pro,,iOS 16.0.3,46,0.000700397
Apple,iPhone 8,,iOS 15.3.1,46,0.000700397
Apple,iPhone,,iOS 15.4.1,46,0.000700397
Apple,iPhone 6s,,iOS 15.4.1,46,0.000700397
Apple,iPhone XR,,iOS 15.1,45,0.000685171
Apple,iPhone,,iOS 15.7,45,0.000685171
Apple,iPhone 13 Pro Max,,iOS 15.4.1,44,0.000669945
Apple,iPhone 11,,iOS 15.2,43,0.000654719
Apple,iPhone 6s,,iOS 14.7.1,42,0.000639493
Apple,iPhone 12,,iOS 14.8.1,41,0.000624267
