mobile_model_name,cnt
iPad,27
iPad (7th gen),196
iPad (8th gen),306
iPad (9th gen),358
iPad 5th gen,99
iPad 6th gen,164
iPad Air,35
iPad Air (3rd gen),51
iPad Air (4th gen),204
iPad Air 2,76
iPad Mini 2,28
iPad Mini 3,8
iPad Mini 4,48
iPad Pro (11-inch),29
iPad Pro (11-inch) (2nd generation),43
iPad Pro (11-inch) (3rd generation),83
iPad Pro (12.9-inch) (3rd generation),13
iPad Pro (12.9-inch) (4th generation),38
iPad Pro (12.9-inch) (5th generation),45
iPad Pro 10.5,41
iPad Pro 12.9 2nd gen,15
iPad Pro 12.9 inch,18
iPad Pro 9.7 inch,33
iPad mini (5th generation),131
iPad mini (6th generation),65
iPhone,3371
iPhone 11,12332
iPhone 11 Pro,936
iPhone 11 Pro Max,1287
iPhone 12,6157
iPhone 12 Pro,1011
iPhone 12 mini,1889
iPhone 13,5321
iPhone 13 Pro,1479
iPhone 13 Pro Max,2430
iPhone 13 mini,766
iPhone 5s,40
iPhone 6,336
iPhone 6 Plus,67
iPhone 6s,968
iPhone 6s Plus,418
iPhone 7,2787
iPhone 7 Plus,1105
iPhone 8,2757
iPhone 8 Plus,1782
iPhone SE,200
iPhone SE (2nd generation),4989
iPhone X,1851
iPhone XR,6975
iPhone XS,1006
iPhone XS Max,1020
iPod,3
iPod touch (7th generation),192
iPod touch 6th gen,48
