mobile_model_name,cnt
0P6B,3
0PJA10,2
0PM92,1
1,2
1.3,5
1.4,28
10 EVO,2
10 Pie,1
100003561,10
100003562,15
100005206,1
100005209,2
100011885,26
100011886,19
100011886A,9
100015685-A,3
100015685-E,2
100026191,16
100043279,4
100044018G,10
100044018P,7
100071481,14
100071483,12
100C,2
10Q,4
15 Plus,1
1503-A01,1
1503-M02,2
1505-A01,2
1505-A02,2
1601,2
1603-A02,2
1603-A03,2
1605-A01,3
1609,2
1610,2
1611,3
1612,1
16T,1
16s,1
16th,1
1707,1
1713,2
1718,3
1723,1
1724,1
1726,1
1727,1
1732A,2
1802,1
1803,1
1804,1
1806,2
1807,2
1808,1
1811,4
1812,1
1816,1
1817,1
1819,2
1820,2
1901,4
1902,3
1904,4
1906,5
1907,4
1907_19,4
1909,1
1915,1
1920,4
1933,3
1935,1
1937,1
1938,2
1x,1
2,1
2 V Tella,1
2.1,1
2.2,1
2.3,7
2.4,17
2014811,2
2015,2
2050,1
21051182G,3
21061110AG,5
21061119AG,7
21061119AL,2
21061119BI,1
21061119DG,22
2107113SG,21
2107113SI,1
21081111RG,9
21091116AG,5
21091116C,1
21091116I,2
21091116UC,1
21091116UG,2
2109119DG,15
211033MI,2
21121119SC,2
21121210G,1
2112123AC,1
2112123AG,2
22011119TI,1
22011119UY,3
2201116PG,8
2201116SG,12
2201116TG,7
2201117PG,15
2201117SG,1
2201117SY,3
2201117TG,6
2201117TY,27
22011211C,1
2201122C,42
2201123G,1
220233L2G,3
2203129G,3
220333QAG,5
220333QNY,3
22041211AC,1
22041216C,1
22041216I,2
2206123SC,2
2PST2,2
2Q55100,2
2e,1
3.1,3
3.1 A,2
3.1 C,1
3.1 Lite,2
3.1 Plus,6
3.2,1
3.4,25
3503I Mega 3,2
3505I,2
3600I,3
3632A,2
3V,3
4,1
4.2,7
4009D,2
4026,2
402SO,2
4034A,2
4034D,2
4034E,2
4034F,2
4034G,2
4034X,2
4047X,1
4049D,2
4049G,2
4055U,2
4060O,2
4060W,2
4087U_EEA,3
4187D,1
4188C,58
4G,2
4G503,2
5.1 Plus,3
5.3,16
5.4,11
50 Saphir,2
5001D_EEA,1
5001J,1
5002C,6
5002D_EEA,1
5002E,1
5002F,1
5002H_EEA,25
5002L,7
5002R,66
5002S,1
5002W,4
5002X,1
5003D_EEA,5
5004C,8
5004R,24
5004S,14
5005R,9
5007A,2
5007G,1
5007S,3
5007U,1
5007U_EEA,1
5007W,53
5007Z,33
5008R,3
5008Y_EEA,1
5010D,2
5010E,2
5010G,2
5010S,2
5010X,2
5012G,2
5023F,2
5024D EEA,1
5025X,2
5027B,2
5028D_EEA,3
5028Y_EEA,8
5029D,2
5029E,1
5029Y EEA,6
5030A,1
5030D EEA,2
5030F EEA,1
5031G,8
5032W,24
5033A,1
5033D,5
5033E,2
5033F,2
5033G_EEA,2
5033M,1
5033XR,11
5033X_EEA,4
5039D_EEA,1
5041,2
5041C,3
5044A,2
5044D,2
5044O,2
5044R,2
5044Y,2
5045A,2
5045D,3
5045J,2
5045T,2
5046Y,2
5048U,1
5048Y_EEA,2
5049W,3
5051A,1
5051D,2
5051J,2
5051M,2
5051X,2
5052D,3
5056A,2
5056D,2
5056E,2
5056G,1
5056I,1
5056N,2
5056O,2
5056W,2
5056X,2
5057M,2
5058,1
5059,2
5059S,4
5059Z,3
5060D,1
5061K_EEA,2
5062W,15
5062Z,74
507SH,2
5080A,2
5080Q,2
5080X,2
5085A,2
5085D,2
5085J,2
5085N,2
5085O,1
5085Q,2
5085Y,2
5087Z,190
5095I,3
5095K,2
5098O,2
5099Y,3
50e Neon,2
5102L,24
5102O,1
5145A,2
5267,2
55 Diamond Selfie,3
55 Helium,1
5530,2
6.1,5
6.1 Plus,2
6.2,5
601SO,2
6025D EEA,2
6025H EEA,23
6045B,2
6045Y,2
6055B,2
6055P,2
6055U,3
6056D,1
6056H,5
6062W,1
6070K,2
6102D,9
6102H,16
6125F,2
6127I,2
6156D,2
6159K,1
6165A,2
6165H,3
6525LVW,3
6535LVW,5
6607,2
7 Plus,6
7 Pro,2
7.1,4
7.2,11
7008,1
701SO,1
7070Q,2
7070X,2
750,2
785 Tablet,2
7Q,1
8 V 5G UW,4
8.1,1
8.3 5G,2
8010,1
802D,2
802T,1
802W,2
8030,1
8060,2
8063,1
8082,1
8082 EEA,1
8088,2
8092 EEA,2
8094X,1
831C,2
8675 - FHD,2
8675-F01,2
8681-A01,2
8681-M02,2
8690,2
8690-T00,2
8692-A00,2
8750,2
9,2
9001X,2
9003A,2
9003X,2
9024W,2
9027W,2
9027X EEA,2
9029G,3
9029W,4
9029Z,7
9030,2
9032W,7
9032X_EEA,1
9032Z,168
9048S,3
9049L,1
9060,3
9198S,6
9203A,2
9309X,1
A0001,3
A007,2
A063,6
A1,3
A1-737,2
A10,2
A10-70L,2
A100,3
A101S,2
A11,1
A11 Pro Max,1
A12,2
A13,2
A14,1
A15,2
A16 Plus,1
A1601,5
A1R,2
A2,2
A2016a40 B,2
A2016b30,2
A2016b31,2
A2017G,2
A2017U,1
A25,2
A26C4H,2
A3,4
A30,3
A3000,3
A3003,6
A3010,15
A31,2
A33m,2
A350,1
A37f,1
A4001,2
A4001 Plus,2
A41,2
A41 Plus,2
A5 Pro,2
A5 Ready TM,2
A5000,36
A5010,20
A501DL,1
A502DL,3
A503DL,2
A506,2
A507DL,34
A508DL,4
A509DL,387
A509W,2
A51,5
A55,3
A55 Pro,3
A551L,2
A57,2
A571L,1
A574BL,2
A57t,2
A59s,1
A60,3
A60 Plus,2
A60 Pro,1
A6000,8
A6001,2
A6003,19
A600DL,126
A6010,7
A6013,36
A6020136,3
A6020137,3
A6020a46,2
A62,1
A6600a40,2
A6600d40,2
A661W,1
A7,5
A7 Pro,1
A7-30DC,1
A70,10
A70 Pro,7
A7000,3
A7010a48,2
A7020,1
A7020a40,2
A7020a48,2
A7030,3
A73,2
A737,2
A74A*,1
A75 MAX,2
A768t,2
A7700,2
A7S,2
A8,2
A8-831,2
A8-930,2
A80,2
A80 Plus,3
A80Pro,5
A80S,2
A82,2
A880,2
A9,5
A9 Pro,4
A90,1
A91,2
A95,3
A97,2
A97 2GB Plus,2
A990,2
A9U,1
A9u,1
AB7,1
AC2001,2
AC2003,19
AC8,2
ACTAB1021,1
ACTAB1021_A,1
ACTAB1022,1
ACTAB821,1
ADS1,2
ADVANCE 4.0 L2,2
AE9010,2
AGR-W09,1
AGS-L03,2
AGS-L09,5
AGS-L09 Mediapad T5,4
AGS-W09,23
AGS3-W09,1
ALE-L02,2
ALE-L21,3
ALE-L23,2
ALP-AL00,1
ALP-L09,2
ALP-L29,1
AM350,2
AM508,2
AMN-LX1,1
AMN-LX2,1
AMN-LX9,6
ANA-AN00,1
